file,reason,category
AuthControllerTestConfig,Redundant test_config config class,config
ComprehensiveTestConfig,Redundant test_config config class,config
IntegrationTestConfig,Redundant test_config config class,config
JpaEntityTestConfig,Redundant test_config config class,config
MinimalAuthTestConfig,Redundant test_config config class,config
NotificationIntegrationTestConfig,Redundant test_config config class,config
OWASPTestConfig,Redundant test_config config class,config
QueryCountTestConfiguration,Redundant test_config config class,config
SecurityTestConfig,Redundant security config class,config
AuthenticationTestContainersIntegrationTest,Redundant TestContainer setup/verification test,container
SimpleTestContainersIntegrationTest,Redundant TestContainer setup/verification test,container
TestContainersBasicTest,Redundant TestContainer setup/verification test,container
TestContainersDemoTest,Redundant TestContainer setup/verification test,container
WorkingTestContainersIntegrationTest,Redundant TestContainer setup/verification test,container
BasicTestContainersTest,Redundant TestContainer setup/verification test,container
PostgreSQLTestContainersTest,Redundant TestContainer setup/verification test,container
SimplePostgreSQLContainerTest,Redundant TestContainer setup/verification test,container
TestContainersSmokeTest,Redundant TestContainer setup/verification test,container
TestContainersVerificationTest,Redundant TestContainer setup/verification test,container
